Execução    Período (ms)     Jitter (ms)
       1          30.881           0.881
       2          30.099           0.099
       3          30.083           0.083
       4          30.079           0.079
       5          30.077           0.077
       6          30.379           0.379
       7          30.077           0.077
       8          30.078           0.078
       9          30.073           0.073
      10          30.057           0.057
      11          30.074           0.074
      12          30.074           0.074
      13          30.077           0.077
      14          30.075           0.075
      15          30.069           0.069
      16          30.094           0.094
      17          30.082           0.082
      18          30.073           0.073
      19          30.072           0.072
      20          30.074           0.074
      21          30.075           0.075
      22          30.068           0.068
      23          30.176           0.176
      24          30.079           0.079
      25          30.074           0.074
      26          30.075           0.075
      27          30.073           0.073
      28          30.079           0.079
      29          30.077           0.077
      30          30.074           0.074
      31          30.078           0.078
      32          30.077           0.077
      33          30.083           0.083
      34          30.079           0.079
      35          30.066           0.066
      36          30.857           0.857
      37          30.078           0.078
      38          30.336           0.336
      39          30.083           0.083
      40          30.080           0.080
      41          30.076           0.076
      42          30.072           0.072
      43          30.073           0.073
      44          30.079           0.079
      45          30.074           0.074
      46          31.450           1.450
      47          30.074           0.074
      48          30.104           0.104
      49          30.077           0.077
      50          31.359           1.359
      51          30.076           0.076
      52          30.327           0.327
      53          30.722           0.722
      54          30.076           0.076
      55          30.072           0.072
      56          30.077           0.077
      57          30.079           0.079
      58          30.072           0.072
      59          30.074           0.074
      60          30.072           0.072
      61          30.073           0.073
      62          30.075           0.075
      63          30.077           0.077
      64          30.077           0.077
      65          30.070           0.070
      66          30.074           0.074
      67          30.036           0.036
      68          31.996           1.996
      69          32.001           2.001
      70          30.074           0.074
      71          30.076           0.076
      72          30.076           0.076
      73          30.072           0.072
      74          30.076           0.076
      75          30.073           0.073
      76          30.136           0.136
      77          30.078           0.078
      78          30.075           0.075
      79          33.266           3.266
      80          30.077           0.077
      81          30.079           0.079
      82          30.073           0.073
      83          30.189           0.189
      84          30.083           0.083
      85          30.077           0.077
      86          32.424           2.424
      87          30.079           0.079
      88          33.914           3.914
      89          30.080           0.080
      90          30.923           0.923
      91          30.074           0.074
      92          30.071           0.071
      93          30.073           0.073
      94          30.071           0.071
      95          30.085           0.085
      96          30.096           0.096
      97          30.103           0.103
      98          30.085           0.085
      99          30.075           0.075
     100          30.242           0.242
     101          30.141           0.141
     102          30.441           0.441
     103          30.080           0.080
     104          30.076           0.076
     105          30.076           0.076
     106          30.083           0.083
     107          33.828           3.828
     108          30.421           0.421
     109          30.105           0.105
     110          30.088           0.088
     111          30.073           0.073
     112          30.082           0.082
     113          30.096           0.096
     114          30.095           0.095
     115          30.081           0.081
     116          30.076           0.076
     117          30.095           0.095
     118          30.130           0.130
