Execução    Período (ms)     Jitter (ms)
       1          30.185           0.185
       2          30.249           0.249
       3          30.265           0.265
       4          30.307           0.307
       5          30.388           0.388
       6          30.239           0.239
       7          30.334           0.334
       8          30.163           0.163
       9          30.322           0.322
      10          30.365           0.365
      11          30.128           0.128
      12          30.327           0.327
      13          30.312           0.312
      14          30.319           0.319
      15          30.284           0.284
      16          30.271           0.271
      17          30.285           0.285
      18          30.379           0.379
      19          30.091           0.091
      20          30.292           0.292
      21          30.190           0.190
      22          30.264           0.264
      23          30.262           0.262
      24          30.366           0.366
      25          30.233           0.233
      26          30.265           0.265
      27          30.283           0.283
      28          30.311           0.311
      29          30.471           0.471
      30          30.284           0.284
      31          30.215           0.215
      32          30.293           0.293
      33          30.217           0.217
      34          30.182           0.182
      35          30.223           0.223
      36          30.274           0.274
      37          30.279           0.279
      38          30.267           0.267
      39          30.259           0.259
      40          30.398           0.398
      41          30.281           0.281
      42          30.265           0.265
      43          30.093           0.093
      44          30.357           0.357
      45          30.237           0.237
      46          30.258           0.258
      47          30.276           0.276
      48          30.256           0.256
      49          30.110           0.110
      50          30.266           0.266
      51          30.404           0.404
      52          30.163           0.163
      53          30.172           0.172
      54          30.312           0.312
      55          30.308           0.308
      56          30.404           0.404
      57          30.458           0.458
      58          30.290           0.290
      59          30.443           0.443
      60          30.428           0.428
      61          30.423           0.423
      62          30.440           0.440
      63          30.308           0.308
      64          30.316           0.316
      65          30.361           0.361
      66          30.431           0.431
      67          30.257           0.257
      68          30.286           0.286
      69          30.313           0.313
      70          30.315           0.315
      71          30.295           0.295
      72          30.311           0.311
      73          30.423           0.423
      74          30.364           0.364
      75          30.313           0.313
      76          30.552           0.552
      77          30.298           0.298
      78          30.243           0.243
      79          30.449           0.449
      80          30.318           0.318
      81          30.320           0.320
      82          30.302           0.302
      83          30.422           0.422
      84          30.128           0.128
      85          30.425           0.425
      86          30.168           0.168
      87          30.473           0.473
      88          30.101           0.101
      89          30.418           0.418
      90          30.450           0.450
      91          30.276           0.276
      92          30.342           0.342
      93          30.213           0.213
      94          30.418           0.418
      95          30.377           0.377
      96          30.300           0.300
      97          30.311           0.311
      98          30.287           0.287
      99          30.431           0.431
     100          30.266           0.266
     101          30.430           0.430
     102          30.303           0.303
     103          30.154           0.154
     104          30.425           0.425
     105          30.311           0.311
     106          30.427           0.427
     107          30.353           0.353
     108          30.195           0.195
     109          30.424           0.424
     110          30.307           0.307
     111          30.382           0.382
     112          30.320           0.320
     113          30.480           0.480
     114          30.311           0.311
     115          30.428           0.428
     116          30.124           0.124
     117          30.419           0.419
     118          30.155           0.155
     119          30.308           0.308
     120          30.428           0.428
     121          30.321           0.321
     122          30.305           0.305
     123          30.428           0.428
     124          30.317           0.317
     125          30.258           0.258
     126          30.387           0.387
     127          30.434           0.434
     128          30.314           0.314
     129          30.423           0.423
     130          30.118           0.118
     131          30.305           0.305
     132          30.448           0.448
     133          30.371           0.371
     134          30.308           0.308
     135          30.277           0.277
     136          30.313           0.313
     137          30.453           0.453
     138          30.297           0.297
     139          30.322           0.322
     140          30.317           0.317
     141          30.303           0.303
     142          30.427           0.427
     143          30.430           0.430
     144          30.201           0.201
     145          30.433           0.433
     146          30.296           0.296
     147          30.217           0.217
     148          30.379           0.379
     149          30.320           0.320
     150          30.296           0.296
     151          30.258           0.258
     152          30.425           0.425
     153          30.504           0.504
     154          30.453           0.453
     155          30.196           0.196
     156          30.150           0.150
     157          30.296           0.296
     158          30.314           0.314
     159          30.289           0.289
     160          30.422           0.422
     161          30.307           0.307
     162          30.169           0.169
     163          30.334           0.334
     164          30.273           0.273
     165          30.313           0.313
     166          30.208           0.208
     167          30.430           0.430
     168          30.429           0.429
     169          30.153           0.153
     170          30.453           0.453
     171          30.199           0.199
     172          30.306           0.306
     173          30.306           0.306
     174          30.331           0.331
     175          30.412           0.412
     176          30.103           0.103
     177          30.143           0.143
     178          30.273           0.273
     179          30.418           0.418
     180          30.102           0.102
     181          30.144           0.144
     182          30.490           0.490
     183          30.467           0.467
     184          30.349           0.349
     185          30.329           0.329
     186          30.161           0.161
     187          30.420           0.420
     188          30.312           0.312
     189          30.314           0.314
     190          30.156           0.156
     191          30.157           0.157
     192          30.419           0.419
     193          30.415           0.415
     194          30.310           0.310
     195          30.417           0.417
     196          30.301           0.301
     197          30.426           0.426
     198          30.456           0.456
     199          30.443           0.443
     200          30.306           0.306
     201          30.419           0.419
     202          30.298           0.298
     203          30.429           0.429
     204          30.422           0.422
     205          30.432           0.432
     206          30.423           0.423
     207          30.274           0.274
